card_id,card_name,card_set,rarity,card_print_number,set_printed_total,tcg_holo_high,tcg_holo_mid,tcg_holo_market,tcg_holo_low,tcg_revhol_high,tcg_revhol_low,tcg_revhol_mid,tcg_revhol_market,tcg_first_ed_holo_high,tcg_first_ed_holo_mid,tcg_first_ed_holo_low,tcg_first_ed_holo_market,tcg_first_ed_normal_high,tcg_first_ed_normal_mid,tcg_first_ed_normal_low,tcg_first_ed_normal_market,tcg_normal_high,tcg_normal_mid,tcg_normal_low,tcg_normal_market,updated_at 
sm8-37,Tapu Bulu,Lost Thunder,Rare Holo,37,214,2.5,0.99,0.73,0.45,2.49,0.5,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.763609Z
dp6-31,Jirachi,Legends Awakened,Rare,31,146,0,0,0,0,48.95,3.99,5.39,4.79,0,0,0,0,0,0,0,0,8.4,3.09,2.0,3.37,2024-04-04T19:13:21.763609Z
swshp-SWSH029,Rayquaza,SWSH Black Star Promos,Promo,SWSH029,307,19.99,4.5,4.61,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.763609Z
bw11-41,Palpitoad,Legendary Treasures,Uncommon,41,113,0,0,0,0,1.98,0.95,1.0,1.0,0,0,0,0,0,0,0,0,1.24,0.41,0.21,0.52,2024-04-04T19:13:21.763609Z
bw1-35,Basculin,Black & White,Uncommon,35,114,0,0,0,0,1.99,0.31,0.89,0.87,0,0,0,0,0,0,0,0,2.99,0.3,0.14,0.44,2024-04-04T19:13:21.763609Z
hgss4-40,Machoke,HS—Triumphant,Uncommon,40,102,0,0,0,0,1.99,0.68,1.01,1.5,0,0,0,0,0,0,0,0,1.0,0.32,0.21,0.32,2024-04-04T19:13:21.763609Z
xy7-38,Wooper,Ancient Origins,Common,38,98,0,0,0,0,4.07,0.18,0.43,0.43,0,0,0,0,0,0,0,0,1.27,0.17,0.03,0.14,2024-04-04T19:13:21.763609Z
ex4-38,Team Magma's Rhyhorn,Team Magma vs Team Aqua,Uncommon,38,95,0,0,0,0,6.99,2.79,4.12,5.53,0,0,0,0,0,0,0,0,2.89,1.55,1.0,1.55,2024-04-04T19:13:21.763609Z
neo4-37,Dark Omanyte,Neo Destiny,Uncommon,37,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.763609Z
ecard2-10,Entei,Aquapolis,Rare,10,147,0,0,0,0,99.99,34.99,38.49,90.75,0,0,0,0,0,0,0,0,17.67,13.88,12.62,13.5,2024-04-04T19:13:21.763609Z
bw3-33,Cryogonal,Noble Victories,Rare,33,101,0,0,0,0,2.97,0.94,1.5,1.22,0,0,0,0,0,0,0,0,4.86,0.7,0.42,0.56,2024-04-04T19:13:21.763609Z
sm6-33,Araquanid,Forbidden Light,Uncommon,33,131,0,0,0,0,1.72,0.24,0.34,0.26,0,0,0,0,0,0,0,0,1.37,0.18,0.03,0.15,2024-04-04T19:13:21.763609Z
dp3-42,Wormadam Sandy Cloak,Secret Wonders,Rare,42,132,0,0,0,0,3.45,0.43,0.99,0.99,0,0,0,0,0,0,0,0,1.49,0.55,0.3,0.49,2024-04-04T19:13:21.764612Z
ecard3-3,Arcanine,Skyridge,Rare,3,144,0,0,0,0,80.0,47.5,78.0,76.98,0,0,0,0,0,0,0,0,44.0,35.99,30.0,30.39,2024-04-04T19:13:21.764612Z
bw9-36,Lanturn,Plasma Freeze,Uncommon,36,116,0,0,0,0,2.05,0.3,0.44,0.35,0,0,0,0,0,0,0,0,1.29,0.25,0.05,0.21,2024-04-04T19:13:21.764612Z
sm1-36,Corsola,Sun & Moon,Uncommon,36,149,0,0,0,0,2.94,0.07,0.25,0.22,0,0,0,0,0,0,0,0,2.0,0.15,0.01,0.09,2024-04-04T19:13:21.764612Z
dp5-31,Toxicroak,Majestic Dawn,Rare,31,100,0,0,0,0,4.29,1.0,2.57,0.99,0,0,0,0,0,0,0,0,2.99,1.46,0.25,2.01,2024-04-04T19:13:21.764612Z
basep-34,Entei,Wizards Black Star Promos,Promo,34,53,0,0,0,0,18.95,2.99,5.17,5.71,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
gym2-40,Erika's Clefairy,Gym Challenge,Uncommon,40,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
sm11-31,Fletchinder,Unified Minds,Common,31,236,0,0,0,0,4.99,0.19,0.37,0.32,0,0,0,0,0,0,0,0,4.99,0.15,0.01,0.04,2024-04-04T19:13:21.764612Z
ex2-31,Azurill,Sandstorm,Uncommon,31,100,0,0,0,0,28.75,5.99,20.33,20.0,0,0,0,0,0,0,0,0,7.0,1.21,0.75,1.3,2024-04-04T19:13:21.764612Z
ex15-27,Croconaw δ,Dragon Frontiers,Uncommon,27,101,0,0,0,0,23.99,9.29,13.95,16.93,0,0,0,0,0,0,0,0,2.0,1.01,0.3,1.09,2024-04-04T19:13:21.764612Z
hgss2-37,Poliwhirl,HS—Unleashed,Uncommon,37,95,0,0,0,0,1.8,0.45,0.89,0.85,0,0,0,0,0,0,0,0,3.4,0.4,0.25,0.82,2024-04-04T19:13:21.764612Z
pl2-34,Vaporeon,Rising Rivals,Rare,34,111,0,0,0,0,22.0,13.99,19.99,22.0,0,0,0,0,0,0,0,0,9.75,3.75,3.6,5.96,2024-04-04T19:13:21.764612Z
bw9-37,Pachirisu,Plasma Freeze,Common,37,116,0,0,0,0,1.12,0.4,0.75,0.83,0,0,0,0,0,0,0,0,4.26,0.27,0.19,0.28,2024-04-04T19:13:21.764612Z
ex6-34,Haunter,FireRed & LeafGreen,Uncommon,34,112,0,0,0,0,11.99,4.0,4.0,27.52,0,0,0,0,0,0,0,0,3.61,2.04,0.75,2.15,2024-04-04T19:13:21.764612Z
swshp-SWSH030,Copperajah V,SWSH Black Star Promos,Promo,SWSH030,307,7.48,1.1,0.88,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
base2-29,Venomoth,Jungle,Rare,29,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
sm35-30,Voltorb,Shining Legends,Common,30,73,0,0,0,0,2.0,0.02,0.3,0.27,0,0,0,0,0,0,0,0,2.0,0.1,0.03,0.08,2024-04-04T19:13:21.764612Z
bw10-42,Solosis,Plasma Blast,Common,42,101,0,0,0,0,2.0,0.15,0.32,0.3,0,0,0,0,0,0,0,0,2.64,0.2,0.04,0.2,2024-04-04T19:13:21.764612Z
xy9-30,Suicune,BREAKpoint,Rare Holo,30,122,10.0,0.97,0.93,0.39,4.98,0.49,1.08,1.41,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
smp-SM30,Tapu Koko,SM Black Star Promos,Promo,SM30,248,4.95,0.5,0.38,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
ecard1-30,Venusaur,Expedition Base Set,Rare Holo,30,165,111.25,77.5,108.33,49.5,74.0,42.74,67.49,62.4,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
ecard2-11,Espeon,Aquapolis,Rare,11,147,0,0,0,0,149.99,65.0,79.99,98.01,0,0,0,0,0,0,0,0,75.0,37.78,36.3,45.0,2024-04-04T19:13:21.764612Z
ex16-31,Kirlia,Power Keepers,Uncommon,31,108,0,0,0,0,4.83,1.91,4.2,4.39,0,0,0,0,0,0,0,0,1.49,0.3,0.09,0.37,2024-04-04T19:13:21.764612Z
swsh3-34,Centiskorch VMAX,Darkness Ablaze,Rare Holo VMAX,34,189,15.95,1.49,1.05,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
ex9-39,Plusle,Emerald,Uncommon,39,106,0,0,0,0,29.95,14.0,25.0,9.74,0,0,0,0,0,0,0,0,6.99,1.67,1.2,1.56,2024-04-04T19:13:21.764612Z
ex7-36,Dark Gyarados,Team Rocket Returns,Uncommon,36,109,0,0,0,0,140.0,95.0,108.11,84.46,0,0,0,0,0,0,0,0,39.99,9.58,7.5,10.93,2024-04-04T19:13:21.764612Z
dpp-DP37,Dialga LV.X,DP Black Star Promos,Promo,DP37,56,27.92,17.06,24.75,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
xy12-31,Starmie,Evolutions,Rare,31,108,0,0,0,0,3.5,0.1,0.89,0.76,0,0,0,0,0,0,0,0,10.0,0.22,0.04,0.13,2024-04-04T19:13:21.764612Z
ex15-28,Dragonair δ,Dragon Frontiers,Uncommon,28,101,0,0,0,0,41.99,11.97,17.2,17.21,0,0,0,0,0,0,0,0,6.46,2.46,0.99,2.49,2024-04-04T19:13:21.764612Z
pl4-40,Gulpin,Arceus,Uncommon,40,99,0,0,0,0,3.31,0.41,0.69,0.74,0,0,0,0,0,0,0,0,11.83,0.3,0.19,0.3,2024-04-04T19:13:21.764612Z
dp1-39,Vespiquen,Diamond & Pearl,Rare,39,130,0,0,0,0,8.99,1.2,2.12,2.98,0,0,0,0,0,0,0,0,2.39,0.79,0.46,1.02,2024-04-04T19:13:21.764612Z
sm12-41,Golduck,Cosmic Eclipse,Uncommon,41,236,0,0,0,0,1.0,0.24,0.39,0.33,0,0,0,0,0,0,0,0,1.02,0.1,0.03,0.08,2024-04-04T19:13:21.764612Z
ex13-37,Chimecho δ,Holon Phantoms,Uncommon,37,110,0,0,0,0,19.99,4.72,7.99,7.68,0,0,0,0,0,0,0,0,9.99,0.88,0.5,0.82,2024-04-04T19:13:21.764612Z
bw11-42,Seismitoad,Legendary Treasures,Rare,42,113,0,0,0,0,3.62,0.33,0.72,0.87,0,0,0,0,0,0,0,0,99.99,0.26,0.1,0.2,2024-04-04T19:13:21.764612Z
xy10-37,Marowak,Fates Collide,Rare,37,124,0,0,0,0,2.0,0.24,0.48,0.48,0,0,0,0,0,0,0,0,2.49,0.32,0.15,0.32,2024-04-04T19:13:21.764612Z
hgss3-36,Scyther,HS—Undaunted,Uncommon,36,90,0,0,0,0,5.0,3.58,3.83,5.25,0,0,0,0,0,0,0,0,11.0,0.76,0.19,0.76,2024-04-04T19:13:21.764612Z
basep-35,Pichu,Wizards Black Star Promos,Promo,35,53,0,0,0,0,39.99,26.96,30.0,26.47,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
sma-SV31,Metang,Hidden Fates Shiny Vault,Rare Shiny,SV31,94,8.99,2.0,1.82,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
sm7-37,Lombre,Celestial Storm,Uncommon,37,168,0,0,0,0,1.0,0.15,0.35,0.22,0,0,0,0,0,0,0,0,2.0,0.24,0.06,0.19,2024-04-04T19:13:21.764612Z
xy5-39,Barboach,Primal Clash,Common,39,160,0,0,0,0,1.95,0.14,0.38,0.38,0,0,0,0,0,0,0,0,5.0,0.15,0.01,0.1,2024-04-04T19:13:21.764612Z
base1-39,Porygon,Base,Uncommon,39,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47,1.37,0.52,1.47,2024-04-04T19:13:21.764612Z
swsh35-40,Liepard,Champion's Path,Uncommon,40,73,0,0,0,0,2.0,0.1,0.23,0.17,0,0,0,0,0,0,0,0,5.0,0.1,0.01,0.04,2024-04-04T19:13:21.764612Z
dp7-30,Tyranitar,Stormfront,Rare,30,100,0,0,0,0,11.24,3.0,4.98,10.08,0,0,0,0,0,0,0,0,5.67,2.62,1.25,2.79,2024-04-04T19:13:21.764612Z
ex4-39,Bulbasaur,Team Magma vs Team Aqua,Common,39,95,0,0,0,0,29.58,18.3,20.44,19.22,0,0,0,0,0,0,0,0,6.36,4.86,3.0,4.15,2024-04-04T19:13:21.764612Z
neo3-33,Magcargo,Neo Revelation,Uncommon,33,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
swsh4-35,Samurott,Vivid Voltage,Rare,35,185,0,0,0,0,4.98,0.15,0.31,0.29,0,0,0,0,0,0,0,0,4.98,0.2,0.07,0.2,2024-04-04T19:13:21.764612Z
dp6-32,Kyogre,Legends Awakened,Rare,32,146,0,0,0,0,9.99,3.49,4.62,5.31,0,0,0,0,0,0,0,0,9.75,2.47,1.5,2.66,2024-04-04T19:13:21.764612Z
bw3-34,Kyurem,Noble Victories,Rare Holo,34,101,527.12,3.3,3.52,1.99,8.0,3.0,3.9,3.89,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
bw4-43,Shinx,Next Destinies,Common,43,99,0,0,0,0,1.0,0.41,0.81,0.81,0,0,0,0,0,0,0,0,2.66,0.25,0.1,0.25,2024-04-04T19:13:21.764612Z
gym1-39,Brock's Golbat,Gym Heroes,Uncommon,39,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
dp2-32,Ninetales,Mysterious Treasures,Rare,32,123,0,0,0,0,10.98,2.44,3.71,5.15,0,0,0,0,0,0,0,0,9.99,4.08,1.09,3.95,2024-04-04T19:13:21.764612Z
xy11-40,Ampharos,Steam Siege,Rare Holo,40,114,1.99,0.4,0.39,0.07,2.0,0.2,0.5,0.45,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
bw6-41,Electrike,Dragons Exalted,Common,41,124,0,0,0,0,5.02,0.44,0.49,0.46,0,0,0,0,0,0,0,0,1.59,0.25,0.1,0.2,2024-04-04T19:13:21.764612Z
ex3-38,Ninjask,Dragon,Uncommon,38,97,0,0,0,0,2.78,0.9,2.0,2.73,0,0,0,0,0,0,0,0,1.49,0.39,0.15,0.42,2024-04-04T19:13:21.764612Z
dp5-32,Umbreon,Majestic Dawn,Rare,32,100,0,0,0,0,59.99,19.88,27.75,41.44,0,0,0,0,0,0,0,0,26.3,15.0,10.0,20.6,2024-04-04T19:13:21.764612Z
np-30,Suicune,Nintendo Black Star Promos,Promo,30,40,20.0,9.62,11.84,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
hgss1-43,Heracross,HeartGold & SoulSilver,Uncommon,43,123,0,0,0,0,5.99,1.14,1.51,2.02,0,0,0,0,0,0,0,0,4.09,0.58,0.33,0.59,2024-04-04T19:13:21.764612Z
neo1-33,Electabuzz,Neo Genesis,Uncommon,33,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
g1-27,Raichu,Generations,Rare Holo,27,83,3.0,1.17,1.17,0.5,4.99,0.7,1.39,1.4,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
ecard3-4,Articuno,Skyridge,Rare,4,144,0,0,0,0,200.0,125.0,162.5,109.99,0,0,0,0,0,0,0,0,61.29,39.94,35.0,39.59,2024-04-04T19:13:21.764612Z
ex14-36,Lairon,Crystal Guardians,Uncommon,36,100,0,0,0,0,7.63,2.8,5.44,6.11,0,0,0,0,0,0,0,0,2.99,0.46,0.17,0.49,2024-04-04T19:13:21.764612Z
pl3-36,Moltres,Supreme Victors,Rare,36,147,0,0,0,0,49.51,2.0,7.12,4.71,0,0,0,0,0,0,0,0,22.0,3.43,2.0,3.36,2024-04-04T19:13:21.764612Z
base6-33,Pidgeot,Legendary Collection,Rare,33,110,0,0,0,0,150.0,57.5,58.73,48.24,0,0,0,0,0,0,0,0,7.17,4.76,3.46,4.08,2024-04-04T19:13:21.764612Z
dc1-29,Team Magma Admin,Double Crisis,Uncommon,29,34,0,0,0,0,4.99,0.34,1.9,2.0,0,0,0,0,0,0,0,0,1.96,0.5,0.15,0.47,2024-04-04T19:13:21.764612Z
neo2-30,Smeargle,Neo Discovery,Rare,30,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
bwp-BW27,Litwick,BW Black Star Promos,Promo,BW27,101,27.02,23.28,22.95,21.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
sm11-32,Talonflame,Unified Minds,Rare,32,236,0,0,0,0,4.99,0.15,0.35,0.3,0,0,0,0,0,0,0,0,4.99,0.25,0.12,0.21,2024-04-04T19:13:21.764612Z
hgss4-41,Magby,HS—Triumphant,Uncommon,41,102,0,0,0,0,9.99,1.49,2.98,6.5,0,0,0,0,0,0,0,0,2.67,0.63,0.32,0.59,2024-04-04T19:13:21.764612Z
sm4-29,Shellos,Crimson Invasion,Common,29,111,0,0,0,0,1.3,0.04,0.2,0.09,0,0,0,0,0,0,0,0,1.1,0.1,0.01,0.04,2024-04-04T19:13:21.764612Z
bw8-38,Frillish,Plasma Storm,Common,38,135,0,0,0,0,3.0,0.25,0.41,0.27,0,0,0,0,0,0,0,0,3.71,0.25,0.07,0.2,2024-04-04T19:13:21.764612Z
sm3-35,Azumarill,Burning Shadows,Rare,35,147,0,0,0,0,3.25,0.12,0.25,0.23,0,0,0,0,0,0,0,0,5.0,0.22,0.05,0.21,2024-04-04T19:13:21.764612Z
ex12-41,Nuzleaf,Legend Maker,Uncommon,41,92,0,0,0,0,10.0,4.0,9.0,9.99,0,0,0,0,0,0,0,0,1.49,0.3,0.12,0.3,2024-04-04T19:13:21.764612Z
swsh2-32,Lampent,Rebel Clash,Uncommon,32,192,0,0,0,0,4.98,0.06,0.25,0.19,0,0,0,0,0,0,0,0,5.0,0.1,0.01,0.07,2024-04-04T19:13:21.764612Z
xy2-44,Skrelp,Flashfire,Common,44,106,0,0,0,0,3.0,0.18,0.39,0.41,0,0,0,0,0,0,0,0,3.0,0.17,0.05,0.15,2024-04-04T19:13:21.764612Z
sm8-38,Moltres,Lost Thunder,Rare,38,214,0,0,0,0,1.75,0.45,0.89,0.73,0,0,0,0,0,0,0,0,1.99,0.48,0.2,0.35,2024-04-04T19:13:21.764612Z
swsh1-39,Centiskorch,Sword & Shield,Rare,39,202,0,0,0,0,5.98,0.25,0.75,1.04,0,0,0,0,0,0,0,0,4.98,0.25,0.09,0.22,2024-04-04T19:13:21.764612Z
gym2-41,Erika's Ivysaur,Gym Challenge,Uncommon,41,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
xyp-XY29,Charizard-EX,XY Black Star Promos,Promo,XY29,211,19.99,9.9,10.13,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
ex5-31,Claydol,Hidden Legends,Uncommon,31,101,0,0,0,0,5.99,1.0,3.0,2.95,0,0,0,0,0,0,0,0,1.5,0.54,0.3,0.73,2024-04-04T19:13:21.764612Z
sm1-37,Wingull,Sun & Moon,Common,37,149,0,0,0,0,1.95,0.09,0.23,0.19,0,0,0,0,0,0,0,0,5.0,0.1,0.01,0.03,2024-04-04T19:13:21.764612Z
xy1-38,Simipour,XY,Rare,38,146,0,0,0,0,4.98,0.3,0.5,0.44,0,0,0,0,0,0,0,0,1.97,0.38,0.21,0.33,2024-04-04T19:13:21.764612Z
ex9-40,Swalot,Emerald,Uncommon,40,106,0,0,0,0,9.99,5.54,7.5,9.88,0,0,0,0,0,0,0,0,2.78,1.0,0.45,0.61,2024-04-04T19:13:21.764612Z
dp5-33,Unown [P],Majestic Dawn,Rare,33,100,0,0,0,0,4.59,2.0,2.84,2.69,0,0,0,0,0,0,0,0,147.8,3.26,2.03,3.53,2024-04-04T19:13:21.764612Z
sm6-34,Magnemite,Forbidden Light,Common,34,131,0,0,0,0,1.49,0.14,0.32,0.27,0,0,0,0,0,0,0,0,2.08,0.2,0.04,0.17,2024-04-04T19:13:21.764612Z
hgss4-42,Magmar,HS—Triumphant,Uncommon,42,102,0,0,0,0,28.99,1.49,2.28,1.74,0,0,0,0,0,0,0,0,2.12,0.39,0.2,0.32,2024-04-04T19:13:21.764612Z
bw8-39,Jellicent,Plasma Storm,Rare,39,135,0,0,0,0,2.79,0.3,0.99,0.99,0,0,0,0,0,0,0,0,8.11,0.5,0.3,0.48,2024-04-04T19:13:21.764612Z
bw7-41,Samurott,Boundaries Crossed,Rare Holo,41,149,2.99,1.49,1.55,1.09,4.98,1.57,2.15,1.83,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
xy11-41,Joltik,Steam Siege,Common,41,114,0,0,0,0,1.24,0.02,0.24,0.22,0,0,0,0,0,0,0,0,2.0,0.1,0.01,0.07,2024-04-04T19:13:21.764612Z
sm4-30,Pikachu,Crimson Invasion,Common,30,111,0,0,0,0,3.0,0.8,1.05,1.05,0,0,0,0,0,0,0,0,1.99,0.29,0.05,0.23,2024-04-04T19:13:21.764612Z
hgss2-38,Pupitar,HS—Unleashed,Uncommon,38,95,0,0,0,0,1.6,0.35,0.65,1.25,0,0,0,0,0,0,0,0,0.99,0.37,0.24,0.41,2024-04-04T19:13:21.764612Z
pl2-35,Vespiquen E4,Rising Rivals,Rare,35,111,0,0,0,0,1.95,0.73,0.85,1.31,0,0,0,0,0,0,0,0,2.24,0.75,0.44,0.74,2024-04-04T19:13:21.764612Z
ex10-37,Corsola,Unseen Forces,Uncommon,37,115,0,0,0,0,9.44,3.99,5.11,8.43,0,0,0,0,0,0,0,0,9.99,0.88,0.59,0.94,2024-04-04T19:13:21.764612Z
sm7-38,Ludicolo,Celestial Storm,Rare Holo,38,168,2.0,0.67,0.72,0.41,1.95,0.25,0.62,0.56,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
bw5-32,Palpitoad,Dark Explorers,Uncommon,32,108,0,0,0,0,4.24,0.35,0.49,0.39,0,0,0,0,0,0,0,0,1.48,0.25,0.2,0.25,2024-04-04T19:13:21.764612Z
mcd11-1,Snivy,McDonald's Collection 2011,,1,12,5.0,2.1,2.27,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
neo2-31,Tyranitar,Neo Discovery,Rare,31,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
swsh35-41,Scraggy,Champion's Path,Common,41,73,0,0,0,0,2.0,0.05,0.2,0.16,0,0,0,0,0,0,0,0,5.0,0.1,0.01,0.05,2024-04-04T19:13:21.764612Z
sm115-40,Clefable,Hidden Fates,Rare,40,68,0,0,0,0,1.09,0.1,0.25,0.23,0,0,0,0,0,0,0,0,1.24,0.23,0.06,0.16,2024-04-04T19:13:21.764612Z
sm2-38,Wishiwashi-GX,Guardians Rising,Rare Holo GX,38,145,5.58,1.6,1.35,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
ecard2-12,Exeggutor,Aquapolis,Rare,12,147,0,0,0,0,20.0,4.9,16.75,5.07,0,0,0,0,0,0,0,0,12.83,2.57,1.35,2.79,2024-04-04T19:13:21.764612Z
sm5-38,Abomasnow,Ultra Prism,Rare,38,156,0,0,0,0,1.95,0.17,0.36,0.33,0,0,0,0,0,0,0,0,1.93,0.25,0.08,0.2,2024-04-04T19:13:21.764612Z
pl1-39,Torterra,Platinum,Rare,39,127,0,0,0,0,4.75,2.93,4.21,4.48,0,0,0,0,0,0,0,0,2.67,1.31,0.8,1.78,2024-04-04T19:13:21.764612Z
dp1-40,Weavile,Diamond & Pearl,Rare,40,130,0,0,0,0,3.02,1.51,1.99,2.0,0,0,0,0,0,0,0,0,7.13,2.51,0.67,2.53,2024-04-04T19:13:21.764612Z
bw2-32,Emolga,Emerging Powers,Common,32,98,0,0,0,0,3.99,1.37,2.74,2.52,0,0,0,0,0,0,0,0,19.99,0.37,0.2,0.44,2024-04-04T19:13:21.764612Z
bw1-36,Ducklett,Black & White,Common,36,114,0,0,0,0,3.95,0.2,0.77,0.28,0,0,0,0,0,0,0,0,2.46,0.25,0.08,0.38,2024-04-04T19:13:21.764612Z
hgss1-44,Igglybuff,HeartGold & SoulSilver,Uncommon,44,123,0,0,0,0,4.8,1.67,3.49,2.74,0,0,0,0,0,0,0,0,17.23,0.94,0.55,0.9,2024-04-04T19:13:21.764612Z
pl4-41,Haunter,Arceus,Uncommon,41,99,0,0,0,0,19.99,2.17,6.29,5.06,0,0,0,0,0,0,0,0,5.97,1.52,0.66,1.7,2024-04-04T19:13:21.764612Z
base1-40,Raticate,Base,Uncommon,40,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,1.1,0.5,1.25,2024-04-04T19:13:21.764612Z
xy2-45,Geodude,Flashfire,Common,45,106,0,0,0,0,3.77,0.2,0.4,0.42,0,0,0,0,0,0,0,0,1.87,0.18,0.03,0.14,2024-04-04T19:13:21.764612Z
ex5-32,Corsola,Hidden Legends,Uncommon,32,101,0,0,0,0,423.04,1.89,6.01,4.97,0,0,0,0,0,0,0,0,1.86,0.65,0.58,0.63,2024-04-04T19:13:21.764612Z
basep-36,Igglybuff,Wizards Black Star Promos,Promo,36,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.99,4.19,2.22,4.77,2024-04-04T19:13:21.764612Z
base4-38,Dratini,Base Set 2,Uncommon,38,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0.67,0.22,0.84,2024-04-04T19:13:21.764612Z
bw9-38,Thundurus-EX,Plasma Freeze,Rare Holo EX,38,116,8.81,7.07,8.0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
gym2-42,Giovanni's Machoke,Gym Challenge,Uncommon,42,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
xy8-33,Octillery,BREAKthrough,Rare Holo,33,162,6.99,3.26,3.03,2.0,6.64,3.38,4.5,4.15,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
swsh3-35,Galarian Mr. Mime,Darkness Ablaze,Common,35,189,0,0,0,0,4.98,0.02,0.2,0.15,0,0,0,0,0,0,0,0,5.0,0.09,0.01,0.04,2024-04-04T19:13:21.764612Z
sm11-33,Salandit,Unified Minds,Common,33,236,0,0,0,0,4.99,0.15,0.32,0.29,0,0,0,0,0,0,0,0,5.0,0.15,0.01,0.04,2024-04-04T19:13:21.764612Z
xy7-39,Quagsire,Ancient Origins,Common,39,98,0,0,0,0,3.67,0.19,0.46,0.45,0,0,0,0,0,0,0,0,2.0,0.2,0.03,0.19,2024-04-04T19:13:21.764612Z
col1-39,Zangoose,Call of Legends,Rare,39,95,0,0,0,0,4.24,0.75,3.0,0.97,0,0,0,0,0,0,0,0,2.34,1.5,0.5,1.48,2024-04-04T19:13:21.764612Z
np-31,Moltres ex,Nintendo Black Star Promos,Promo,31,40,48.29,38.8,40.99,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.764612Z
bw10-43,Duosion,Plasma Blast,Uncommon,43,101,0,0,0,0,4.52,0.16,0.4,0.38,0,0,0,0,0,0,0,0,1.27,0.25,0.14,0.24,2024-04-04T19:13:21.764612Z
ex14-37,Lombre,Crystal Guardians,Uncommon,37,100,0,0,0,0,4.8,1.76,2.45,2.01,0,0,0,0,0,0,0,0,4.99,0.39,0.21,0.4,2024-04-04T19:13:21.764612Z
swsh1-40,Shellder,Sword & Shield,Common,40,202,0,0,0,0,4.98,0.08,0.22,0.18,0,0,0,0,0,0,0,0,5.0,0.1,0.01,0.03,2024-04-04T19:13:21.764612Z
